"Step","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT201-AIT202-AIT203-FIT201.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT401-AIT402-FIT401-LIT401.train_loss__MAX","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MIN","[GPU] DAICS - Wide Deep Network - AIT501-AIT502-AIT503-AIT504-FIT501-FIT502-FIT503-FIT504-PIT501-PIT502-PIT503.train_loss__MAX","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MIN","[GPU] DAICS - Wide Deep Network - DPIT301-FIT301-LIT301.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT101-LIT101.train_loss__MAX","[GPU] DAICS - Wide Deep Network - FIT601.train_loss","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MIN","[GPU] DAICS - Wide Deep Network - FIT601.train_loss__MAX"
"22","-0.009575196768957307","-0.009575196768957307","-0.009575196768957307","-0.005775428766069778","-0.005775428766069778","-0.005775428766069778","-0.0023252931174111255","-0.0023252931174111255","-0.0023252931174111255","-0.016201100425077455","-0.016201100425077455","-0.016201100425077455","-0.0267202274749081","-0.0267202274749081","-0.0267202274749081","-0.0069382007508305525","-0.0069382007508305525","-0.0069382007508305525"
"23","-0.009691033621298585","-0.009691033621298585","-0.009691033621298585","-0.00521307669863808","-0.00521307669863808","-0.00521307669863808","-0.0023071693345645067","-0.0023071693345645067","-0.0023071693345645067","-0.0161277331322812","-0.0161277331322812","-0.0161277331322812","-0.027024196218522114","-0.027024196218522114","-0.027024196218522114","-0.006939606335673958","-0.006939606335673958","-0.006939606335673958"
"24","-0.009446138915519767","-0.009446138915519767","-0.009446138915519767","-0.004940040226506796","-0.004940040226506796","-0.004940040226506796","-0.002302617537603522","-0.002302617537603522","-0.002302617537603522","-0.01615414016932567","-0.01615414016932567","-0.01615414016932567","-0.026271886480115077","-0.026271886480115077","-0.026271886480115077","-0.006949107580058218","-0.006949107580058218","-0.006949107580058218"
"25","-0.00937101110232956","-0.00937101110232956","-0.00937101110232956","-0.00477461603932292","-0.00477461603932292","-0.00477461603932292","-0.00228622839594853","-0.00228622839594853","-0.00228622839594853","-0.016066278646917443","-0.016066278646917443","-0.016066278646917443","-0.026373035720778457","-0.026373035720778457","-0.026373035720778457","-0.006942951884520767","-0.006942951884520767","-0.006942951884520767"
"26","-0.009395519045638906","-0.009395519045638906","-0.009395519045638906","-0.004564050136061814","-0.004564050136061814","-0.004564050136061814","-0.0022826697213335296","-0.0022826697213335296","-0.0022826697213335296","-0.016150254772950876","-0.016150254772950876","-0.016150254772950876","-0.02622616627315719","-0.02622616627315719","-0.02622616627315719","-0.006939657619319813","-0.006939657619319813","-0.006939657619319813"
"27","-0.009328969707722177","-0.009328969707722177","-0.009328969707722177","-0.00451984319433795","-0.00451984319433795","-0.00451984319433795","-0.00226987668564775","-0.00226987668564775","-0.00226987668564775","-0.01604756855060117","-0.01604756855060117","-0.01604756855060117","-0.026020498460537906","-0.026020498460537906","-0.026020498460537906","-0.006944217202400438","-0.006944217202400438","-0.006944217202400438"
"28","-0.009281566056462591","-0.009281566056462591","-0.009281566056462591","-0.00452396402732728","-0.00452396402732728","-0.00452396402732728","-0.0022519287405332556","-0.0022519287405332556","-0.0022519287405332556","-0.01614019578090869","-0.01614019578090869","-0.01614019578090869","-0.025977209971664125","-0.025977209971664125","-0.025977209971664125","-0.006936801853474368","-0.006936801853474368","-0.006936801853474368"
"29","-0.00947331133337163","-0.00947331133337163","-0.00947331133337163","-0.004461464477548041","-0.004461464477548041","-0.004461464477548041","-0.0022478122764318163","-0.0022478122764318163","-0.0022478122764318163","-0.015938049381585637","-0.015938049381585637","-0.015938049381585637","-0.025722741633325597","-0.025722741633325597","-0.025722741633325597","-0.006945516503577749","-0.006945516503577749","-0.006945516503577749"
"30","-0.009274479198824775","-0.009274479198824775","-0.009274479198824775","-0.004474469404075811","-0.004474469404075811","-0.004474469404075811","-0.0022431674426312814","-0.0022431674426312814","-0.0022431674426312814","-0.015929353561773323","-0.015929353561773323","-0.015929353561773323","-0.02528551504392129","-0.02528551504392129","-0.02528551504392129","-0.006940897053934565","-0.006940897053934565","-0.006940897053934565"
"31","-0.009167099100578772","-0.009167099100578772","-0.009167099100578772","-0.004382340196171891","-0.004382340196171891","-0.004382340196171891","-0.00225806424837197","-0.00225806424837197","-0.00225806424837197","-0.016059934151583792","-0.016059934151583792","-0.016059934151583792","-0.025686054500810972","-0.025686054500810972","-0.025686054500810972","-0.006941283197620599","-0.006941283197620599","-0.006941283197620599"
